Publisher Label,Publisher URI,Location,Type,Year
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Banwell - Recreation Grounds,No Dogs Allowed,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Banwell - Scout Hut and Children's Centre,No Dogs Allowed,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Bleadon - Parish Allotment Site,Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Bleadon - Village Cross Area,All Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Clevedon - Coleridge Vale Playing Fields,All Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Hutton - Phippen Park,All Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Locking - Parish Allotment Site,All Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Nailsea - Grove Playing Field,All Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Portbury - Ponds,No Dogs Allowed,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Redhill - Christchurch Churchyard,No Dogs Allowed,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St Georges - Village Play Area,All Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Tickenham - Village Hall,No Dogs Allowed,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Weston-super-Mare - Clarence Park West,Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Winford - Vee Lane Playing Fields,No Dogs Allowed,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Winscombe - War Memorial Recreation Ground,No Dogs Allowed,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Winscombe RFC Longfield - Sidcot,No Dogs,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Bleadon - Jubilee Hall,All Dogs on Leads,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Bleadon - Mulberry Lane,No Dogs Allowed,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Bleadon - Play Area,No Dogs Allowed,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Congresbury - Broadstones Playing Field,All Dogs on Leads,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Congresbury - Kent Road Gardens,All Dogs on Leads,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Congresbury - King George V Playing Field,All Dogs on Leads,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Congresbury - Riverside Gardens,All Dogs on Leads,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Dundry - Village Playing Field,No Dogs Allowed,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Easton-in-Gordano - Brookside Playing Field,No Dogs Allowed,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Weston-super-Mare - Baytree Recreation Ground,No Dogs Allowed,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Weston-super-Mare - Drove Road Recreation Ground,No Dogs Allowed,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Weston-super-Mare - Grove Park,All Dogs on Leads,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Blagdon - The Clennon,Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Blagdon - The Mead,Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Easton-in-Gordano - Court Hay Football Field,Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Easton-in-Gordano - Hardwick Green,No Dogs Allowed,2007
